,category_id,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
0,MBO1747,Accesorios para Vehículos,86,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
1,MBO1512,Agro,7,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
2,MBO1367,Arte y Antigüedades,38,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
3,MBO1743,"Autos, Motos y Otros",341,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
4,MBO1039,Cámaras Digitales y Foto.,310,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
5,MBO1051,Celulares y Teléfonos,735,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
6,MBO1798,Coleccionables y Hobbies,1,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
7,MBO1648,Computación,1359,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
8,MBO1144,Consolas y Videojuegos,168,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
9,MBO1276,Deportes y Fitness,269,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
10,MBO1000,"Electrónica, Audio y Video",534,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
11,MBO1574,Hogar y Electrodomésticos,295,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
12,MBO1430,Indumentaria y Accesorios,31,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
13,MBO1459,Inmuebles,78,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
14,MBO1182,Instrumentos Musicales,421,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
15,MBO3937,Joyas y Relojes,14,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
16,MBO1132,Juegos y Juguetes,17,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
17,MBO3025,"Libros, Revistas y Comics",7,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
18,MBO1168,Música y Películas,4,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
19,MBO1540,Servicios,201,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
20,MBO1953,Otras categorías,373,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
21,MRD1747,Accesorios para Vehículos,1021,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
22,MRD1512,Agro,246,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
