,category_id,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
0,MCU1747,Accesorios para Vehículos,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
1,MCU1367,Arte y Antigüedades,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
2,MCU1743,"Autos, Motos y Otros",0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
3,MCU1039,Cámaras Digitales y Foto,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
4,MCU1051,Celulares y Teléfonos,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
5,MCU1798,Coleccionables y Hobbies,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
6,MCU1648,Computación,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
7,MCU1144,Consolas y Videojuegos,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
8,MCU1276,Deportes y Fitness,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
9,MCU1000,"Electrónica, Audio y Video",0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
10,MCU1574,Hogar y Electrodomésticos,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
11,MCU1430,Indumentaria y Accesorios,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
12,MCU1459,Inmuebles,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
13,MCU1182,Instrumentos Musicales,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
14,MCU3937,Joyas y Relojes,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
15,MCU1132,Juegos y Juguetes,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
16,MCU3025,"Libros, Revistas y Comics",0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
17,MCU1168,Música y Películas,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
18,MCU1540,Servicios,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
19,MCU1953,Otras categorías,0,not found,not found,not found,not found,not found,not found,Cuba,not found,not found,not found,not found
20,MLB5672,Acessórios para Veículos,104021713,Som automotivo Multilaser Trip P3350 com USB e bluetooth,{'MLB15589509': 0},93.5,BRL,72457,2020-04-20T19:48:38Z,Brasil,Santa Catarina,Multilaser,4.4,1024303377
21,MLB271599,Agro,151978,Saco Para Silagem Pacote Com 100 Unidades + 100 Abraçadeiras,{'MLB2159584540': 24147},158.55,BRL,750,2022-01-30T01:50:25.000Z,Brasil,São Paulo,Gobi Brasil,4.4,224000291
22,MLB1403,Alimentos e Bebidas,1225622,Manicrem Pasta De Amendoim Integral 100% Amendoim - 1kg,{'MLB1521175228': 214415},13.76,BRL,10000,2020-05-12T14:03:05.000Z,Brasil,São Paulo,MANICREM,4.4,566975496
23,MLB1071,Animais,2139068,"Bravecto Antipulgas De 4,5 A 10kg - Full",{'MLB1436713704': 214746},152.57,BRL,5000,2020-02-14T13:09:17.000Z,Brasil,Minas Gerais,,4.7,14838037
24,MLB1367,Antiguidades e Coleções,1236480,"Bandeira Do Brasil Oficial Dupla Face (1,50 X 0,90)",{'MLB1785496717': 50989},39.9,BRL,5000,2021-02-02T19:16:18.000Z,Brasil,São Paulo,Brasil,4,653305084
25,MLB1368,"Arte, Papelaria e Armarinho",2934764,"Fita Dupla Face Profissional Extra Forte - 9,0mm X 3m",{'MLB794319246': 523335},16.97,BRL,5000,2016-09-07T20:15:24.000Z,Brasil,São Paulo,Dupla face,4.2,193392276
26,MLB1384,Bebês,1873546,Lenço Umedecido Mamypoko C/200,{'MLB2120720573': 23862},21,BRL,5000,2021-12-21T19:13:35.000Z,Brasil,São Paulo,MamyPoko,0,736159205
27,MLB1246,Beleza e Cuidado Pessoal,5721200,Máquina Perfect Barber Profissional Dragão Acabamento Barba,{'MLB1930554131': 465952},90.91,BRL,5000,2021-06-28T13:05:30.000Z,Brasil,São Paulo,Não,4.1,402955888
28,MLB1132,Brinquedos e Hobbies,3712639,Bicicleta  infantil Nathor Flower aro 12 freio tambor cor rosa com rodas de treinamento,{'MLB13077908': 0},199.9,BRL,22021,2018-11-27T19:37:08Z,Brasil,Paraná,Nathor,4.7,747517872
29,MLB1430,"Calçados, Roupas e Bolsas",11116945,Kit 3 Calça Jeans Skinny Masculina Com Lycra Estica Muito Nf,{'MLB2062548750': 988310},164.77,BRL,17000,2021-10-21T21:41:30.000Z,Brasil,São Paulo,MultiMarcas,4.4,794195725
30,MLB1039,Câmeras e Acessórios,880722,Cartão de memória SanDisk SDSQUNS-064G-GN3MA  Ultra com adaptador SD 64GB,{'MLB8859356': 0},32.1,BRL,181642,2018-01-17T12:31:30Z,Brasil,São Paulo,SanDisk,4.9,614625558
31,MLB1743,"Carros, Motos e Outros",311734,not found,not found,not found,not found,not found,not found,Brasil,not found,not found,not found,not found
32,MLB1574,"Casa, Móveis e Decoração",25129103,"Tapete 2,00x1,50 Costa Oro Shaggy Mega Promoção Peludo",{'MLB1813612114': 2719326},90.9,BRL,21011,2021-03-03T20:18:50.000Z,Brasil,São Paulo,Costa Oro,4.1,721373567
33,MLB1051,Celulares e Telefones,3390980,Fone de ouvido in-ear sem fio QCY T1C preto,{'MLB15285466': 0},117,BRL,228146,2019-12-12T20:50:15Z,Brasil,São Paulo,QCY,0,372757449
34,MLB1500,Construção,3556421,Chuveiro Ducha Lorenzetti Loren Shower Eletrônico Original,{'MLB1984397653': 140858},108.9,BRL,5500,2021-08-18T17:39:20.000Z,Brasil,São Paulo,Lorenzetti,4.7,741345142
35,MLB5726,Eletrodomésticos,2161648,Liquidificador portátil Mondial Turbo Power L-99 2.2 L preto com jarra de san 127V,{'MLB15578949': 0},119.99,BRL,101893,2020-04-07T21:55:24Z,Brasil,São Paulo,Mondial,4.8,130090710
36,MLB1000,"Eletrônicos, Áudio e Vídeo",4122894,Fone de ouvido in-ear sem fio QCY T1C preto,{'MLB15285466': 0},117,BRL,228146,2019-12-12T20:50:15Z,Brasil,São Paulo,QCY,0,372757449
37,MLB1276,Esportes e Fitness,4938284,Kit 2x Whey Protein + 2x Bcaa + 2x Creatina + Coqueteleira,{'MLB1373566834': 2666649},149.99,BRL,15000,2019-11-26T13:09:15.000Z,Brasil,São Paulo,"Proteina,Ganho de Massa Magra,Recuperação Muscular,Energia",3.6,259428092
38,MLB263532,Ferramentas,3936011,Jogo De Ferramentas Kit 129 Peças C/ Maleta + 40 Peças,{'MLB1226520633': 11580875},134,BRL,50000,2019-05-08T13:02:19.000Z,Brasil,São Paulo,Sparta,4.5,116155669
39,MLB12404,Festas e Lembrancinhas,2417564,Bexiga Balão Liso 9 Polegadas 50 Unidades,{'MLB1971608459': 75140},19.7,BRL,7950,2021-08-05T21:54:03.000Z,Brasil,São Paulo,Redondo,4.6,298303751
40,MLB1144,Games,647447,Disco sólido interno Kingston SA400S37/240G 240GB preto,{'MLB19035706': 0},164.89,BRL,113116,2022-04-05T13:35:22Z,Brasil,São Paulo,Kingston,4.9,179165464
41,MLB1459,Imóveis,3167088,not found,not found,not found,not found,not found,not found,Brasil,not found,not found,not found,not found
42,MLB1499,Indústria e Comércio,2243728,Maquina Mercadopago Point Pro 2,{'MLB1777409825': 1498056},90,BRL,50000,2021-01-25T22:04:02.000Z,Brasil,Rio de Janeiro,MERCADO PAGO,4.4,72087730
43,MLB1648,Informática,5172221,Disco sólido interno Kingston SA400S37/240G 240GB preto,{'MLB19035706': 0},164.89,BRL,113116,2022-04-05T13:35:22Z,Brasil,São Paulo,Kingston,4.9,179165464
44,MLB218519,Ingressos,3416,800 Folha Papel Manteiga Forrar Caixa Pizza N.35 Octogonal,{'MLB1076259991': 39363},159.99,BRL,500,2018-08-01T09:06:06.000Z,Brasil,São Paulo,Pizza,5,51869795
45,MLB1182,Instrumentos Musicais,1082581,Alto-falante Mondial CM-400 portátil com bluetooth preto e vermelho 110V/220V ,{'MLB18247621': 0},598,BRL,14229,2021-07-08T15:55:24Z,Brasil,São Paulo,Mondial,0,320099593
46,MLB3937,Joias e Relógios,2957311,"Xiaomi Mi Smart Band 5 1.1"" caixa de  plástico pc  black, pulseira  black de  elastômero termoplástico e liga de alumínio XMSH10HM",{'MLB15963018': 0},162,BRL,126749,2020-07-29T19:45:52Z,Brasil,Paraná,Xiaomi,5,458103395
47,MLB1196,"Livros, Revistas e Comics",8516614,Bíblia Evangélica Feminina / Masculina Letra Grande E Harpa,{'MLB686029277': 236960},34.9,BRL,5500,2015-08-03T15:37:16.000Z,Brasil,Rio de Janeiro,Papel,4.5,43316870
48,MLB1168,"Música, Filmes e Seriados",2859734,Tubo Ressonância Lax Vox Exercícios Vocal Silicone 35cm C/nf,{'MLB2117864535': 3219},27.87,BRL,455,2021-12-17T23:43:41.000Z,Brasil,São Paulo,Tubo,0,654788911
49,MLB264586,Saúde,1965666,Kit 200 Máscara Caixa Descartável Tripla C/ Filtro Meltblown,{'MLB1684703866': 2903883},39.92,BRL,74680,2020-10-16T00:33:47.000Z,Brasil,São Paulo,Adultos,4.4,583044314
50,MLB1540,Serviços,15996,not found,not found,not found,not found,not found,not found,Brasil,not found,not found,not found,not found
51,MLB1953,Mais Categorias,1859718,Incenso Nirvana Natural De Longa Duração Escolha Seu Aroma,{'MLB1890840583': 69300},16.82,BRL,7480,2021-05-20T14:47:19.000Z,Brasil,São Paulo,Presente Dia dos Pais Aromaterapia Purificar Energia,4.2,154616245
52,MEC5725,Accesorios para Vehículos,29000,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
53,MEC1512,Agro,3189,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
54,MEC1403,Alimentos y Bebidas,2856,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
55,MEC1071,Animales y Mascotas,4818,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
56,MEC1367,Arte y Antigüedades,4555,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
57,MEC1743,"Autos, Motos y Otros",1253,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
58,MEC1384,Bebés,2233,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
59,MEC1246,Belleza y Cuidado Personal,15265,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
60,MEC1039,Cámaras y Accesorios,3270,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
61,MEC1051,Celulares y Telefonía,36143,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
62,MEC1798,Coleccionables,1414,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
63,MEC1648,Computación,95425,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
64,MEC1144,Consolas y Videojuegos,5058,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
65,MEC454381,Construcción,2829,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
66,MEC1276,Deportes y Fitness,9868,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
67,MEC1000,"Electrónica, Audio y Video",23967,not found,not found,not found,not found,not found,not found,Ecuador,not found,not found,not found,not found
