,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
0,Accesorios para Vehículos,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
1,Arte y Antigüedades,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
2,"Autos, Motos y Otros",0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
3,Cámaras Digitales y Foto,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
4,Celulares y Teléfonos,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
5,Coleccionables y Hobbies,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
6,Computación,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
7,Consolas y Videojuegos,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
8,Deportes y Fitness,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
9,"Electrónica, Audio y Video",0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
10,Hogar y Electrodomésticos,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
11,Indumentaria y Accesorios,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
12,Inmuebles,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
13,Instrumentos Musicales,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
14,Joyas y Relojes,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
15,Juegos y Juguetes,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
16,"Libros, Revistas y Comics",0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
17,Música y Películas,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
18,Servicios,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
19,Otras categorías,0,not found,0.0,0.0,not found,0.0,00-00-0000,Cuba,not found,not found,0.0,not found
20,Acessórios para Veículos,104021713,Som automotivo Multilaser Trip P3350 com USB e bluetooth,0.0,93.5,BRL,72457.0,20-04-2020,Brasil,Santa Catarina,Multilaser,4.4,1024303377
21,Agro,151978,Saco Para Silagem Pacote Com 100 Unidades + 100 Abraçadeiras,24147.0,158.55,BRL,750.0,30-01-2022,Brasil,São Paulo,Gobi Brasil,4.4,224000291
22,Alimentos e Bebidas,1225622,Manicrem Pasta De Amendoim Integral 100% Amendoim - 1kg,214415.0,13.76,BRL,10000.0,12-05-2020,Brasil,São Paulo,MANICREM,4.4,566975496
23,Animais,2139068,"Bravecto Antipulgas De 4,5 A 10kg - Full",214746.0,152.57,BRL,5000.0,14-02-2020,Brasil,Minas Gerais,0,4.7,14838037
24,Antiguidades e Coleções,1236480,"Bandeira Do Brasil Oficial Dupla Face (1,50 X 0,90)",50989.0,39.9,BRL,5000.0,02-02-2021,Brasil,São Paulo,Brasil,4.0,653305084
25,"Arte, Papelaria e Armarinho",2934764,"Fita Dupla Face Profissional Extra Forte - 9,0mm X 3m",523335.0,16.97,BRL,5000.0,07-09-2016,Brasil,São Paulo,Dupla face,4.2,193392276
26,Bebês,1873546,Lenço Umedecido Mamypoko C/200,23862.0,21.0,BRL,5000.0,21-12-2021,Brasil,São Paulo,MamyPoko,0.0,736159205
27,Beleza e Cuidado Pessoal,5721200,Máquina Perfect Barber Profissional Dragão Acabamento Barba,465952.0,90.91,BRL,5000.0,28-06-2021,Brasil,São Paulo,Não,4.1,402955888
28,Brinquedos e Hobbies,3712639,Bicicleta  infantil Nathor Flower aro 12 freio tambor cor rosa com rodas de treinamento,0.0,199.9,BRL,22021.0,27-11-2018,Brasil,Paraná,Nathor,4.7,747517872
29,"Calçados, Roupas e Bolsas",11116945,Kit 3 Calça Jeans Skinny Masculina Com Lycra Estica Muito Nf,988310.0,164.77,BRL,17000.0,21-10-2021,Brasil,São Paulo,MultiMarcas,4.4,794195725
30,Câmeras e Acessórios,880722,Cartão de memória SanDisk SDSQUNS-064G-GN3MA  Ultra com adaptador SD 64GB,0.0,32.1,BRL,181642.0,17-01-2018,Brasil,São Paulo,SanDisk,4.9,614625558
31,"Carros, Motos e Outros",311734,not found,0.0,0.0,not found,0.0,00-00-0000,Brasil,not found,not found,0.0,not found
32,"Casa, Móveis e Decoração",25129103,"Tapete 2,00x1,50 Costa Oro Shaggy Mega Promoção Peludo",2719326.0,90.9,BRL,21011.0,03-03-2021,Brasil,São Paulo,Costa Oro,4.1,721373567
33,Celulares e Telefones,3390980,Fone de ouvido in-ear sem fio QCY T1C preto,0.0,117.0,BRL,228146.0,12-12-2019,Brasil,São Paulo,QCY,0.0,372757449
34,Construção,3556421,Chuveiro Ducha Lorenzetti Loren Shower Eletrônico Original,140858.0,108.9,BRL,5500.0,18-08-2021,Brasil,São Paulo,Lorenzetti,4.7,741345142
35,Eletrodomésticos,2161648,Liquidificador portátil Mondial Turbo Power L-99 2.2 L preto com jarra de san 127V,0.0,119.99,BRL,101893.0,07-04-2020,Brasil,São Paulo,Mondial,4.8,130090710
36,"Eletrônicos, Áudio e Vídeo",4122894,Fone de ouvido in-ear sem fio QCY T1C preto,0.0,117.0,BRL,228146.0,12-12-2019,Brasil,São Paulo,QCY,0.0,372757449
37,Esportes e Fitness,4938284,Kit 2x Whey Protein + 2x Bcaa + 2x Creatina + Coqueteleira,2666649.0,149.99,BRL,15000.0,26-11-2019,Brasil,São Paulo,"Proteina,Ganho de Massa Magra,Recuperação Muscular,Energia",3.6,259428092
38,Ferramentas,3936011,Jogo De Ferramentas Kit 129 Peças C/ Maleta + 40 Peças,11580875.0,134.0,BRL,50000.0,08-05-2019,Brasil,São Paulo,Sparta,4.5,116155669
39,Festas e Lembrancinhas,2417564,Bexiga Balão Liso 9 Polegadas 50 Unidades,75140.0,19.7,BRL,7950.0,05-08-2021,Brasil,São Paulo,Redondo,4.6,298303751
40,Games,647447,Disco sólido interno Kingston SA400S37/240G 240GB preto,0.0,164.89,BRL,113116.0,05-04-2022,Brasil,São Paulo,Kingston,4.9,179165464
41,Imóveis,3167088,not found,0.0,0.0,not found,0.0,00-00-0000,Brasil,not found,not found,0.0,not found
42,Indústria e Comércio,2243728,Maquina Mercadopago Point Pro 2,1498056.0,90.0,BRL,50000.0,25-01-2021,Brasil,Rio de Janeiro,MERCADO PAGO,4.4,72087730
43,Informática,5172221,Disco sólido interno Kingston SA400S37/240G 240GB preto,0.0,164.89,BRL,113116.0,05-04-2022,Brasil,São Paulo,Kingston,4.9,179165464
44,Ingressos,3416,800 Folha Papel Manteiga Forrar Caixa Pizza N.35 Octogonal,39363.0,159.99,BRL,500.0,01-08-2018,Brasil,São Paulo,Pizza,5.0,51869795
45,Instrumentos Musicais,1082581,Alto-falante Mondial CM-400 portátil com bluetooth preto e vermelho 110V/220V ,0.0,598.0,BRL,14229.0,08-07-2021,Brasil,São Paulo,Mondial,0.0,320099593
46,Joias e Relógios,2957311,"Xiaomi Mi Smart Band 5 1.1"" caixa de  plástico pc  black, pulseira  black de  elastômero termoplástico e liga de alumínio XMSH10HM",0.0,162.0,BRL,126749.0,29-07-2020,Brasil,Paraná,Xiaomi,5.0,458103395
47,"Livros, Revistas e Comics",8516614,Bíblia Evangélica Feminina / Masculina Letra Grande E Harpa,236960.0,34.9,BRL,5500.0,03-08-2015,Brasil,Rio de Janeiro,Papel,4.5,43316870
48,"Música, Filmes e Seriados",2859734,Tubo Ressonância Lax Vox Exercícios Vocal Silicone 35cm C/nf,3219.0,27.87,BRL,455.0,17-12-2021,Brasil,São Paulo,Tubo,0.0,654788911
49,Saúde,1965666,Kit 200 Máscara Caixa Descartável Tripla C/ Filtro Meltblown,2903883.0,39.92,BRL,74680.0,16-10-2020,Brasil,São Paulo,Adultos,4.4,583044314
50,Serviços,15996,not found,0.0,0.0,not found,0.0,00-00-0000,Brasil,not found,not found,0.0,not found
51,Mais Categorias,1859718,Incenso Nirvana Natural De Longa Duração Escolha Seu Aroma,69300.0,16.82,BRL,7480.0,20-05-2021,Brasil,São Paulo,Presente Dia dos Pais Aromaterapia Purificar Energia,4.2,154616245
52,Accesorios para Vehículos,29000,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
53,Agro,3189,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
54,Alimentos y Bebidas,2856,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
55,Animales y Mascotas,4818,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
56,Arte y Antigüedades,4555,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
57,"Autos, Motos y Otros",1253,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
58,Bebés,2233,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
59,Belleza y Cuidado Personal,15265,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
60,Cámaras y Accesorios,3270,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
61,Celulares y Telefonía,36143,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
62,Coleccionables,1414,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
63,Computación,95425,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
64,Consolas y Videojuegos,5058,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
65,Construcción,2829,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
66,Deportes y Fitness,9868,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
67,"Electrónica, Audio y Video",23967,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
68,Herramientas,11079,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
